,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
1032," ""8066-BW74""",41.7378,-108.7875,3308.054,3945944.055,7969.346,152.4,9.4488,28.6512,280.3722222,54918.80469,78958.91406,133877.7188
1033," ""8069-1""",39.3792,-111.0781,2879.494,3378594.503,6143.81,182.88,7.3152,33.528,278.7611111,28202.93555,66614.73438,94817.66992
1034," ""8069-2""",39.3792,-111.0781,14515.891,2745056.682,4986.611,182.88,7.3152,33.528,280.3166667,22890.85742,335813.25,358704.1074
1035," ""8102-1""",38.9347,-82.1158,10403.178,7385232.75,13363.991,252.984,12.8016,37.1856,270.0667845,223528.0313,314141.5625,537669.5938
1036," ""8102-2""",38.9347,-82.1158,14383.643,9612216,20592.701,252.984,12.8016,38.1,269.9096484,344436.4688,434338.4688,778774.9375
1037," ""8219-1""",38.6306,-104.7056,3877.636,1876242.725,2390.081,140.208,5.334,91.7448,290.9277778,16061.28809,83281.40625,99342.69434
1038," ""8222-B1""",47.2217,-101.8139,11471.633,3658089.275,11291.317,151.7904,6.4008,67.056,312.0203333,192949.4844,295990.125,488939.6094
1039," ""8223-1""",34.3186,-109.1636,1916.4,3167283.875,2914.313, NA, NA,31.6992,262.8166667,7883.166992,37269.25,45152.41699
1040," ""8223-2""",34.3186,-109.1636,2412.347,3152124.715,2735.471, NA, NA,31.6992,262.8166667,7399.402832,46914.19531,54313.59815
1041," ""8223-TS3""",34.3186,-109.1636,559.882,1053632.921,397.386,150.876,6.096,58.8264,342.6685,1074.922485,10888.32227,11963.24475
1042," ""8224-1""",40.8831,-117.1542,5352.33,1582433.225,2703.3,153.89352,5.620512,86.868,278.7845249,20906.73242,115828.2813,136735.0137
1043," ""8224-2""",40.8831,-117.1542,1808.228,2256905.625,4811.515,137.22096,5.1816,61.8744,282.4723248,37211.20313,39131.35547,76342.55859
1044," ""8226-1""",40.5383,-79.7906,32372.645,2818930.727,4220.66,168.5544,8.2296,35.3568,284.7055556,57099.86719,1042866.25,1099966.117
1045," ""10017-2""",37.5392,-76.8053,0,0,253.383, NA, NA, NA, NA,6325.592285,0,6325.592285
1046," ""10025-1E""",43.1969,-77.6289,0,0,192.953, NA, NA, NA, NA,6942.018066,0,6942.018066
1047," ""10025-1F""",43.1969,-77.6289,0,0,145.662, NA, NA, NA, NA,5240.594238,0,5240.594238
1048," ""10025-2C""",43.1969,-77.6289,0,0,1234.846, NA, NA, NA, NA,44427.00781,0,44427.00781
1049," ""10025-3A""",43.1969,-77.6289,0,0,557.969, NA, NA, NA, NA,20074.48047,0,20074.48047
1050," ""10025-3B""",43.1969,-77.6289,0,0,1047.573, NA, NA, NA, NA,37689.33594,0,37689.33594
1051," ""10025-4A""",43.1969,-77.6289,0,0,136.546, NA, NA, NA, NA,4912.620605,0,4912.620605
1052," ""10025-4B""",43.1969,-77.6289,0,0,784.23, NA, NA, NA, NA,28214.8457,0,28214.8457
1053," ""10030-1""",39.1467,-75.5461,0,0,379.188, NA, NA, NA, NA,13537.74414,0,13537.74414
1054," ""10043-1001""",39.7914,-75.4081,0,0,1168.555,60.198,2.7432,96.6216,285.7611111,36093.34766,0,36093.34766
1055," ""10071-BLR01A""",36.8703,-76.3519,0,0,122.664,60.3504,2.62128,96.012,288.15,2733.634033,0,2733.634033
1056," ""10071-BLR01B""",36.8703,-76.3519,0,0,116.875,60.3504,2.62128,96.012,288.15,2604.622803,0,2604.622803
1057," ""10071-BLR01C""",36.8703,-76.3519,0,0,118.331,60.3504,2.62128,96.012,288.15,2637.070801,0,2637.070801
1058," ""10071-BLR02A""",36.8703,-76.3519,0,0,94.56,60.3504,2.62128,96.012,288.15,2107.321289,0,2107.321289
1059," ""10071-BLR02B""",36.8703,-76.3519,0,0,91.356,60.3504,2.62128,96.012,288.15,2035.918213,0,2035.918213
1060," ""10071-BLR02C""",36.8703,-76.3519,0,0,91.452,60.3504,2.62128,96.012,288.15,2038.057495,0,2038.057495
1061," ""10075-1""",47.5314,-90.9111,1809.784,576156.236,1132.851,67.056,3.01752,99.06,302.3076527,24313.28906,42583.95313,66897.24219
1062," ""10075-2""",47.5314,-90.9111,1745.737,571309.56,1090.747,67.056,3.01752,99.06,302.3076527,23409.65039,41076.93359,64486.58398
1063," ""10075-3""",47.5314,-90.9111,1831.438,576141.859,1029.979,67.056,3.01752,99.06,302.3076527,22105.44727,43093.47266,65198.91992
1064," ""10111-EUBHB9""",42.6564,-83.2858,0,0,0, NA, NA, NA, NA,0,0,0
1065," ""10113-31""",40.79,-76.1984,0,0,100.792, NA, NA, NA, NA,4074.877686,0,4074.877686
1066," ""10113-32""",40.79,-76.1984,0,0,100.451, NA, NA, NA, NA,4061.091309,0,4061.091309
1067," ""10114-B101""",41.0489,-81.4736,0,0,452.552, NA, NA, NA, NA,11644.34277,0,11644.34277
1068," ""10114-B102""",41.0489,-81.4736,0,0,293.76, NA, NA, NA, NA,7558.560547,0,7558.560547
1069," ""10143-AAB01""",40.55,-78.8,0,0,677.942,121.3104,3.6576,82.296,277.8833333,18185.75391,0,18185.75391
1070," ""10151-1A""",39.5611,-80.1642,0,0,63.112, NA, NA, NA, NA,1166.015503,0,1166.015503
1071," ""10151-1B""",39.5611,-80.1642,0,0,68.203, NA, NA, NA, NA,1260.073364,0,1260.073364
1072," ""10244-B002""",39.3265,-82.9744,0,0,211.5, NA, NA, NA, NA,4437.469727,0,4437.469727
1073," ""10244-B003""",39.3265,-82.9744,0,0,386.289, NA, NA, NA, NA,8104.708496,0,8104.708496
1074," ""10328-UNIT1""",42.7178,-84.4836,0,0,61.476,83.82,3.3528,99.06,281.2611111,2149.495361,0,2149.495361
1075," ""10328-UNIT2""",42.7178,-84.4836,0,0,68.14,83.82,3.3528,99.06,281.2611111,2382.500977,0,2382.500977
1076," ""10328-UNIT3""",42.7178,-84.4836,0,0,143.082,83.82,3.9624,99.06,277.3722222,5002.832031,0,5002.832031
1077," ""10328-UNIT4""",42.7178,-84.4836,0,0,114.742,83.82,3.9624,99.06,277.3722222,4011.930176,0,4011.930176
1078," ""10343-SG-101""",40.8092,-76.4539,492.385,496305.819,246.024,93.5736,2.7432,167.64,288.9111111,11445.58008,16473.65234,27919.23242
1079," ""10377-BLR01A""",37.2939,-77.2697,0,0,109.06, NA, NA, NA, NA,2975.115723,0,2975.115723
1080," ""10377-BLR01B""",37.2939,-77.2697,0,0,106.949, NA, NA, NA, NA,2917.528564,0,2917.528564
1081," ""10377-BLR01C""",37.2939,-77.2697,0,0,113.274, NA, NA, NA, NA,3090.072266,0,3090.072266
1082," ""10377-BLR02A""",37.2939,-77.2697,0,0,108.857, NA, NA, NA, NA,2969.578125,0,2969.578125
1083," ""10377-BLR02B""",37.2939,-77.2697,0,0,106.282, NA, NA, NA, NA,2899.333008,0,2899.333008
1084," ""10377-BLR02C""",37.2939,-77.2697,0,0,106.037, NA, NA, NA, NA,2892.649414,0,2892.649414
1085," ""10378-BLR01A""",33.9444,-78.0125,0,0,74.921, NA, NA, NA, NA,1224.009033,0,1224.009033
1086," ""10378-BLR01B""",33.9444,-78.0125,0,0,67.736, NA, NA, NA, NA,1106.625488,0,1106.625488
1087," ""10378-BLR01C""",33.9444,-78.0125,0,0,71.56, NA, NA, NA, NA,1169.099365,0,1169.099365
1088," ""10378-BLR02A""",33.9444,-78.0125,0,0,73.081, NA, NA, NA, NA,1193.948364,0,1193.948364
